Codigo,Direccion,Latitud,Longitud,Piezas,Precio Min (UF),Precio Max (UF),Tamaño Min,Tamaño Max,Pago,Tipo de Vivienda
7142,"Varas Mena 771, San Miguel",-33.51059,-70.64859,n/a,2789,3665,69.7,85.42,venta,departamento
8042,"Inés de Suárez 7763, La Florida",-33.52626,-70.5877,n/a,2734,4446,49.68,74.86,venta,departamento
7079,"Eyzaguirre 819, Santiago",-33.45207,-70.64692,n/a,2256,3890,27.04,69.49,venta,departamento
7059,"O´Higgins 926, San Bernardo",-33.59049,-70.70937,n/a,1863,2772,31.52,61.93,venta,departamento
6569,"General Mackenna 1531, Santiago",-33.43318,-70.65949,n/a,2870,3930,35,64.86,venta,departamento
8738,"Los Viñedos 6412, Puente Alto",-33.56158,-70.5513,n/a,2664,3135,58.85,69.09,venta,departamento
7712,"Lira 185, Santiago",-33.44559,-70.64037,n/a,2820,3021,22.38,36.02,venta,departamento
6652,"Av. Quilín 3.375, Macul",-33.48503,-70.59817,n/a,2860,5045,45.73,84.47,venta,departamento
5016904,"Metro Hospital, Independencia",-33.42199,-70.65519,2D/1B,2500,0,46,48,venta,departamento
4913625,"Metro Cumming, Santa Ana, Santiago",-33.43976,-70.67029,2D/1B,2504,0,57,57,venta,departamento
4994550,"Mujica, Ñuñoa - Departamento 55, Ñuñoa",-33.4506,-70.62876,1D/1B,2550,0,36,36,venta,departamento
5004212,"Metro Santa Isabel, Santiago",-33.44755,-70.63264,1D/1B,2550,0,27,30,venta,departamento
5035881,"San Isidro 234 - San Isidro, Santiago, Santiago",-33.44648,-70.64387,2D/1B,2572,0,40,42,venta,departamento
5014629,"PISO 2 - DEPARTAMENTO TOTALMENTE REMODELADO EN MODERNO EDIFICIO A PASOS DEL METRO SANTA ANA, Santiago",-33.43565,-70.65874,2D/1B,2574,0,48,48,venta,departamento
4982929,"Departamento Estudio Metro Bellas Artes Parque Forestal Vista Despejada Con Bodega, Santiago",-33.43609,-70.64346,1D/1B,2575,0,30,30,venta,departamento
5008938,"Bartolo Soto 4026, San Miguel - Departamento 147, San Miguel",-33.49072,-70.65361,1D/1B,2608,0,44,42,venta,departamento
