Codigo,Direccion,Comuna,Latitud,Longitud,Piezas,Precio Min (UF),Precio Max (UF),Tamaño Min,Tamaño Max,Pago,Tipo de Vivienda,Tipo Proyecto
5007958,"LAUTARO - CUATRO PONIENTE / COLEGIO TERRAAUSTRAL, MaipÃš",MaipÃš,0,0,3D/3B,2503,0,71,105, Venta, Casa,Propiedad usada
4813794,Lampa,Lampa,0,0,3D/3B,20,0,100,156, Arriendo, Casa,Propiedad usada
4061572,"Vespucio / Alonso de Córdova, Las Condes",Las Condes,0,0,3D/3B,42,0,263,272, Arriendo, Departamento,Propiedad usada
5029435,"Dpto cercano al Metro Escuela militar, Las Condes",Las Condes,0,0,3D/2B,19,0,70,74, Arriendo, Departamento,Propiedad usada
4626331,"Estudio Santa rosa - Alameda 1d/ 1b - estacionamiento, Santiago",Santiago,0,0,1D/1B,2550,0,43,43, Venta, Departamento,Propiedad usada
4712581,"Morande Santiago centro, Santiago",Santiago,0,0,2D/2B,3000,0,59,59, Venta, Departamento,Propiedad usada
4842761,"Avenida Gabriela / Nonato Coo, Puente Alto",Puente Alto,0,0,5D/2B,3112,0,129,128, Venta, Casa,Propiedad usada
8979,"Vicuña Mackenna 3897, San Joaquín",San Joaquín,0,0,None,2735,5292,39.45,80.19, Venta, Departamento,Proyecto
4667845,"Hipódromo de Chile - Avenida Fermín Viva, Independencia",Independencia,0,0,3D/2B,2861,0,62,64, Venta, Departamento,Propiedad usada
4977028,"Suecia / Luis Uribe, Ñuñoa",Ñuñoa,0,0,3D/2B,23,0,97,97, Arriendo, Departamento,Propiedad usada
5003242,"Almirante La Torre / Grajales, Santiago",Santiago,0,0,3D/2B,3344,0,68,68, Venta, Departamento,Propiedad usada
4658073,"Hermanos Cabot 7393, Las Condes",Las Condes,0,0,3D/3B,34,0,130,156, Arriendo, Departamento,Propiedad usada
4821571,"PORTEZUELO DE TOBALABA / MALL TOBALABA CORDILLERA, Puente Alto",Puente Alto,0,0,3D/2B,17,0,80,190, Arriendo, Casa,Propiedad usada
4577843,"SAN ANTONIO/ESMERALDA, Santiago",Santiago,0,0,2D/2B,2502,0,46,0, Venta, Departamento,Propiedad usada
5009929,"AVENIDA SUR, Ñuñoa",Ñuñoa,0,0,3D/2B,3432,0,90,90, Venta, Departamento,Propiedad usada
5033879,"General Mackenna, Santiago",Santiago,0,0,2D/2B,20,0,60,60, Arriendo, Departamento,Propiedad usada
5042045,"NORUEGA / APOQUINDO, Las Condes",Las Condes,0,0,2D/2B,19,0,68,68, Arriendo, Departamento,Propiedad usada
5017964,"Hermanos Cabot, Las Condes",Las Condes,0,0,4D/3B,26,0,100,111, Arriendo, Departamento,Propiedad usada
4829795,"Carmelitas/Las Condes, Las Condes",Las Condes,0,0,1D/1B,19,0,45,0, Arriendo, Departamento,Propiedad usada
5020529,"Chicureo oriente, Sector Santa Luz, Colina",Colina,0,0,2D/1B,20,0,65,200, Arriendo, Casa,Propiedad usada
4946323,"Avenida Los Leones 1727 - Departamento 707, Providencia",Providencia,0,0,1D/1B,17,0,35,35, Arriendo, Departamento,Propiedad usada
4444844,"Edith Letelier Caro 1524, Buin",Buin,0,0,3D/2B,2998,0,65.65,189.14, Venta, Casa,Propiedad usada
4821115,"RepÃšblica de Cuba 1530 - Departamento 606, Providencia",Providencia,0,0,2D/2B,21,0,52.65,60.21, Arriendo, Departamento,Propiedad usada
5036398,"Casa 2 Pisos en Ciudad Nueva del Parque., Renca",Renca,0,0,3D/2B,2644,0,82,122, Venta, Casa,Propiedad usada
4621660,"Federico Froebel 1840 - Departamento 1001, Providencia",Providencia,0,0,1D/1B,19,0,48,48, Arriendo, Departamento amoblado,Propiedad usada
4652130,"VILLA LOS BOSQUINOS, MaipÃš",MaipÃš,0,0,3D/2B,3450,0,85,120, Venta, Casa,Propiedad usada
4926344,"PADRE ALBERTO HURTADO/GERMAN YUNGUE, Estación Central",Estación Central,0,0,3D/2B,2718,0,70,72, Venta, Departamento,Propiedad usada
4787484,"Catedral / Teatinos EXCELENTE DPTO, GRAN OPORTUNIDAD!!, Santiago",Santiago,0,0,1D/1B,2599,0,53,56, Venta, Departamento,Propiedad usada
5036120,"AV MANQUEHUE NORTE // AV KENNEDY, Las Condes",Las Condes,0,0,2D/2B,23,0,56,74, Arriendo, Departamento,Propiedad usada
5036002,"AV SUCRE // AV CONDELL, Ñuñoa",Ñuñoa,0,0,1D/1B,3420,0,39,42, Venta, Departamento,Propiedad usada
4945264,"Guindos 01495, Buin",Buin,0,0,4D/2B,42,0,200,2, Arriendo, Casa,Propiedad usada
5001433,"HUINGANAL / PASEO PIE ANDINO / EL PEUMO, Lo Barnechea",Lo Barnechea,0,0,5D/4B,41,0,140,305, Arriendo, Casa,Propiedad usada
5006619,"Carmencita 110, Las Condes",Las Condes,0,0,3D/2B,30,0,178,178, Arriendo, Departamento,Propiedad usada
3307691,"METRO / LUJOSO / NEW, Las Condes",Las Condes,0,0,2D/2B,31,0,60,70, Arriendo, Departamento amoblado,Propiedad usada
5042402,"Metro Manquehue / Las Condes, Las Condes",Las Condes,0,0,4D/3B,39,0,124,139, Arriendo, Departamento,Propiedad usada
4753230,"Mall Plaza Tobalaba, Puente Alto",Puente Alto,0,0,3D/3B,3800,0,95,120, Venta, Casa,Propiedad usada
4776608,"METRO ÑUBLE/CARLOS DITTON, Ñuñoa",Ñuñoa,0,0,1D/1B,2789,0,30,0, Venta, Departamento,Propiedad usada
4990291,"Serrano 633, Santiago",Santiago,0,0,1D/1B,13,0,35,40, Arriendo, Departamento,Propiedad usada
5001465,"Nataniel/ Vitoria, Santiago",Santiago,0,0,5D/2B,14,0,143,143, Arriendo, Departamento,Propiedad usada
5035245,"PALESTRINA 2932, San Joaquín",San Joaquín,0,0,3D/1B,3501,0,82.51,173, Venta, Casa,Propiedad usada
5027610,"Blest Gana, La Reina - Departamento 5710, La Reina",La Reina,0,0,2D/2B,21,0,73,75, Arriendo, Departamento,Propiedad usada
