Codigo,Direccion,Piezas,Precio Min (UF),Precio Max (UF),Tamaño Min,Tamaño Max,Pago,Tipo de Vivienda
6876,"San Nicolás 1171, San Miguel",n/a,2841.0,3573.0,50.62,63.76,venta,departamento
3897,"Sergio Vieira de Mello 6400 (ex Aguada), Macul",n/a,2325.0,4025.0,35.21,83.69,venta,departamento
6535,"Av. Club Hípico 1604, Santiago",n/a,2845.0,3262.0,52.14,57.15,venta,departamento
8036,"Av. Recoleta 1760, Recoleta",n/a,2800.0,0.0,53.79,56.33,venta,departamento
8528,"Calle Rinconada El Salto 291, Huechuraba",n/a,2697.0,7504.0,44.15,105.14,venta,departamento
7010,"Libertador Bernardo O’Higgins 87, Maipú",n/a,2931.0,4024.0,43.29,61.1,venta,departamento
8080,"Walker Martínez 1620, La Florida",n/a,2867.0,4984.0,49.55,85.3,venta,departamento
7335,"Alcalde Pedro Alarcón 851, San Miguel",n/a,2470.0,3642.0,49.64,72.86,venta,departamento
8165,"Walker Martínez 1100, La Florida",n/a,2125.0,4080.0,41.77,84.02,venta,departamento
7585,"Barros Arana 653, San Bernardo",n/a,1378.0,2190.0,28.1,52.3,venta,departamento
7584,"Avenida Ossa 0171, La Cisterna",n/a,1437.0,2181.0,24.29,42.8,venta,departamento
4878,"Av. Escuela Agrícola 1710, Macul",n/a,2990.0,0.0,47.27,47.27,venta,departamento
7029,"El Molino 1787, Independencia",n/a,2310.0,0.0,41.23,53.01,venta,departamento
8835,"Tocornal 636, Santiago",n/a,2490.0,4905.0,36.99,100.57,venta,departamento
7068,"Avenida Ossa 375, La Cisterna",n/a,2391.0,2692.0,50.92,53.14,venta,departamento
6256,"Av. Perú 733, Recoleta",n/a,2864.0,6168.0,37.04,98.88,venta,departamento
7771,"Martínez de Rozas 2330, Santiago",n/a,2888.0,2908.0,50.31,50.31,venta,departamento
7654,"Matucana 1101, Santiago",n/a,1924.0,2949.0,27.6,62.4,venta,departamento
8802,"Santa Victoria 9448, La Florida",n/a,2288.0,4772.0,34.99,95.21,venta,departamento
8633,"Santos Dumont 750, Recoleta",n/a,2840.0,4490.0,56.87,76.08,venta,departamento
8157,"Francisco Javier Krugger 4055, Buin",n/a,2740.0,3310.0,60.49,82.97,venta,departamento
7791,"Av. Fernández Albano 775, La Cisterna",n/a,2908.0,3660.0,52.29,76.81,venta,departamento
6544,"Trinidad Ramirez 0180, La Cisterna",n/a,2695.0,3063.0,39.33,62.48,venta,departamento
6692,"Avenida Perú Plaza 1471, Recoleta",n/a,2482.0,4297.0,36.8,81.88,venta,departamento
8317,"Calle Covadonga 935, San Bernardo",n/a,1345.0,2200.0,35.73,70.74,venta,departamento
8175,"Santa Clara 360, La Cisterna",n/a,1569.0,3316.0,23.29,51.91,venta,departamento
7891,"Carvajal 358, La Cisterna",n/a,2108.0,3537.0,33.62,70.11,venta,departamento
8912,"Urmeneta 32, San Bernardo",n/a,1939.0,3317.0,43.0,72.14,venta,departamento
8887,"Av. Fernández Albano 565, La Cisterna",n/a,2140.0,4220.0,42.0,91.0,venta,departamento
8738,"Los Viñedos 6412, Puente Alto",n/a,2664.0,3135.0,58.85,69.09,venta,departamento
7648,"Bartolo Soto 4033, San Miguel",n/a,2760.0,7760.0,37.53,132.29,venta,departamento
7199,"San Nicolás 1278, San Miguel",n/a,2420.0,0.0,37.59,82.74,venta,departamento
7205,"Alcalde Pedro Alarcón 834, San Miguel",n/a,2984.0,4222.0,48.24,71.72,venta,departamento
7383,"Av. Vicuña Mackenna 1385, Santiago",n/a,2474.0,4453.0,32.13,76.16,venta,departamento
7059,"O´Higgins 926, San Bernardo",n/a,1863.0,2772.0,31.52,61.93,venta,departamento
8991,"Tierra Fértil 1835, Maipú",n/a,2722.0,3090.0,62.24,68.39,venta,departamento
8487,"Libertad 30, Maipú",n/a,2790.0,4190.0,44.0,75.9,venta,departamento
6989,"Avenida Vicuña Mackenna 12017, La Florida",n/a,2513.0,2931.0,57.6,67.92,venta,departamento
6601,"Av. Padre Alberto Hurtado 59, Estación Central",n/a,1975.0,3105.0,24.66,53.25,venta,departamento
8047,"María Rozas Velásquez 45, Estación Central",n/a,1665.0,2755.0,28.5,54.25,venta,departamento
7807,"Avenida el Peral 06898, Puente Alto",n/a,2606.0,3185.0,61.11,80.17,venta,departamento
9069,"Av. San José 01047, San Bernardo",n/a,1400.0,2100.0,53.0,60.0,venta,departamento
8529,"San Jerónimo 5020, San Miguel",n/a,2437.0,0.0,39.24,79.6,venta,departamento
8154,"Avenida Seminario 763, Ñuñoa",n/a,2690.0,7100.0,25.66,91.21,venta,departamento
8031,"Pedro Riveros esquina Av. Las Torres, Quilicura",n/a,1820.0,2176.0,57.4,60.4,venta,departamento
8456,"Tercera avenida 1177, San Miguel",n/a,2265.0,3373.0,38.66,73.27,venta,departamento
8963,"Américo Vespucio 231, La Cisterna",n/a,2779.0,3000.0,57.9,64.35,venta,departamento
7287,"Constantino 54, Estación Central",n/a,2058.0,0.0,34.04,65.85,venta,departamento
8425,"Santa Petronila 28, Estación Central",n/a,2014.0,2661.0,33.34,52.89,venta,departamento
8270,"Calle Barcelona 160, La Florida",n/a,2117.0,0.0,36.42,59.88,venta,departamento
8448,"Poeta Vicente Huidobro 3555, Macul",n/a,2335.0,0.0,36.98,78.65,venta,departamento
7413,"Av. Los Libertadores esquina Fernández Albano, Cerrillos",n/a,1900.0,2200.0,53.0,59.0,venta,departamento
7306,"Av. Santa Rosa 5741, San Miguel",n/a,2332.0,2424.0,52.69,52.69,venta,departamento
8042,"Inés de Suárez 7763, La Florida",n/a,2734.0,4446.0,49.68,74.86,venta,departamento
6569,"General Mackenna 1531, Santiago",n/a,2870.0,3930.0,35.0,64.86,venta,departamento
7414,"Avenida Lo Errázuriz 2441, Cerrillos",n/a,2729.0,3827.0,57.77,85.87,venta,departamento
8219,"Calle San Carlos 2050, Puente Alto",n/a,2480.0,2680.0,63.99,68.84,venta,departamento
7456,"Av. Eyzaguirre 02320, Puente Alto",n/a,1942.0,2194.0,50.0,57.0,venta,departamento
7838,"Conde del Maule 4670, Estación Central",n/a,2330.0,0.0,36.66,57.89,venta,departamento
8405,"Arturo Prat 565, Santiago",n/a,2335.0,4550.0,29.12,60.35,venta,departamento
8446,"Cotapos 1369, Independencia",n/a,2509.0,3960.0,37.78,77.44,venta,departamento
6711,"Rivera 1.640, Independencia",n/a,2070.0,2340.0,33.47,34.91,venta,departamento
6661,"Tierra Fértil 1745, Maipú",n/a,2693.0,2953.0,65.94,65.94,venta,departamento
8266,"Fray Camilo Henríquez 660, Santiago",n/a,2370.0,4520.0,29.56,75.14,venta,departamento
7179,"Troncal San Francisco 2135, Puente Alto",n/a,1890.0,2250.0,52.7,67.96,venta,departamento
7079,"Eyzaguirre 819, Santiago",n/a,2256.0,3890.0,27.04,69.49,venta,departamento
8650,"Carmen 90, Santiago",n/a,2585.0,4305.0,27.6,49.84,venta,departamento
8604,"Calle Yungay 2570, Santiago",n/a,1691.0,2940.0,29.0,68.0,venta,departamento
7985,"Claudio Arrau 8750, Pudahuel",n/a,2742.0,3416.0,55.42,72.39,venta,departamento
7223,"Berlín 927, San Miguel",n/a,2300.0,2875.0,38.42,58.23,venta,departamento
7805,"Colombia 8863, La Florida",n/a,2546.0,4067.0,44.3,75.2,venta,departamento
8143,"Fernández Albano 192, La Cisterna",n/a,2092.0,0.0,33.83,60.7,venta,departamento
7448,"Av. Fermín Vivaceta 3750, Conchalí",n/a,1560.0,0.0,25.13,72.25,venta,departamento
8030,"Exequiel Fernández esquina Madreselvas, Macul",n/a,2400.0,4410.0,34.59,80.8,venta,departamento
5229,"Santa Rosa 10450, La Granja",n/a,1770.0,2153.0,57.4,60.4,venta,departamento
8349,"Av. Fernández Albano 424, La Cisterna",n/a,1774.0,2684.0,36.15,65.09,venta,departamento
7712,"Lira 185, Santiago",n/a,2820.0,3021.0,22.38,36.02,venta,departamento
8280,"Blanco Encalada 1538, Renca",n/a,1976.0,2901.0,49.0,72.9,venta,departamento
7423,"Alcalde Pedro Alarcón 900, San Miguel",n/a,2200.0,3695.0,36.95,85.37,venta,departamento
7889,"Abtao 24, Estación Central",n/a,1785.0,2764.0,22.77,45.5,venta,departamento
6328,"María Graham 545, Recoleta",n/a,1893.0,3147.0,45.53,63.15,venta,departamento
6652,"Av. Quilín 3.375, Macul",n/a,2860.0,5045.0,45.73,84.47,venta,departamento
6927,"Argomedo 350, Santiago",n/a,1875.0,4205.0,24.52,65.06,venta,departamento
8815,"El Cerro 1612, Renca",n/a,1750.0,2200.0,58.7,63.94,venta,departamento
6668,"Doctor Johow 995, Ñuñoa",n/a,2252.0,4175.0,21.71,76.55,venta,departamento
8256,"General Mackenna 1531, Santiago",n/a,2310.0,5050.0,25.94,91.21,venta,departamento
5779,"Av. Independencia 2264, Independencia",n/a,1980.0,5296.0,27.22,73.25,venta,departamento
8843,"Santo Domingo 1944, Santiago",n/a,1686.0,3696.0,23.91,50.94,venta,departamento
8649,"Eleuterio Ramirez 1427, Santiago",n/a,2960.0,5120.0,38.03,63.71,venta,departamento
8759,"Seminario 677, Ñuñoa",n/a,2740.0,5100.0,28.46,54.73,venta,departamento
8225,"Av. Pedro Fontova 7330, Huechuraba",n/a,2800.0,5500.0,58.15,107.28,venta,departamento
7142,"Varas Mena 771, San Miguel",n/a,2789.0,3665.0,69.7,85.42,venta,departamento
8589,"Carrión 1507, Independencia",n/a,2320.0,3330.0,36.32,61.2,venta,departamento
7437,"Catedral 3151, Santiago",n/a,2461.0,3168.0,39.3,53.7,venta,departamento
7234,"Av. Vicuña Mackenna 8840, La Florida",n/a,2865.0,3839.0,49.56,67.45,venta,departamento
8801,"Santa Elena 922, Santiago",n/a,2330.0,4040.0,29.97,62.47,venta,departamento
8258,"Av. Lo Ovalle 0150, La Cisterna",n/a,2013.0,3295.0,36.37,62.0,venta,departamento
6943,"Bulnes 872, San Bernardo",n/a,2550.0,3300.0,53.6,71.1,venta,departamento
7913,"Zañartu 1313, Ñuñoa",n/a,2645.0,4497.0,36.89,75.53,venta,departamento
8160,"Carmen Mena 1050, San Miguel",n/a,2627.0,0.0,38.52,38.52,venta,departamento
7277,"Av. Concha y Toro 2940, Puente Alto",n/a,2190.0,3324.0,36.98,70.07,venta,departamento
7905,"Sergio Ceppi 0839, La Cisterna",n/a,1587.0,2263.0,32.45,52.01,venta,departamento
8360,"Diagonal Santa Elena 2857, San Joaquín",n/a,2117.0,2930.0,35.65,54.82,venta,departamento
7349,"Villasana 1451, Quinta Normal",n/a,2435.0,2521.0,41.15,51.47,venta,departamento
8099,"Macul 3401, Macul",n/a,2812.0,6227.0,37.53,90.69,venta,departamento
8213,"Calle Andalucía 1340, Quilicura",n/a,2478.0,3006.0,59.04,68.69,venta,departamento
8971,"Las Enredaderas 2154, Independencia",n/a,1669.0,3293.0,32.07,67.78,venta,departamento
8544,"Constantino 141, Estación Central",n/a,1654.0,2446.0,16.87,41.74,venta,departamento
7659,"Recreo 250, Estación Central",n/a,2280.0,0.0,37.08,65.87,venta,departamento
4695,"Calle América 449, San Bernardo",n/a,1722.0,3507.0,35.0,90.8,venta,departamento
8851,"Domeyko 2010, Santiago",n/a,2520.0,8510.0,24.82,104.63,venta,departamento
8578,"Av. América 755, San Bernardo",n/a,1824.0,4094.0,40.32,90.0,venta,departamento
8447,"Francisco Errázuriz 1280, Renca",n/a,1617.0,2096.0,35.53,50.77,venta,departamento
8299,"Novena Avenida 1316, San Miguel",n/a,2243.0,3117.0,31.97,59.09,venta,departamento
9002,"Carlos Silva Vildosola 870, San Miguel",n/a,2002.0,3607.0,38.75,74.01,venta,departamento
7576,"Vicente Huidobro 3500, Macul",n/a,2335.0,4125.0,36.46,67.9,venta,departamento
8103,"Avenida Punta Arenas 6600, La Florida",n/a,2349.0,2955.0,56.95,67.27,venta,departamento
8321,"Puntiagudo 5361, Conchalí",n/a,1706.0,3029.0,33.82,53.95,venta,departamento
8994,"La Coruña 4855, Estación Central",n/a,2304.0,0.0,46.44,57.4,venta,departamento
8675,"Curiñanca 830, San Miguel",n/a,2822.0,4633.0,41.75,89.05,venta,departamento
8775,"Av. Departamental 797, La Florida",n/a,2748.0,4531.0,36.4,81.97,venta,departamento
7067,"San Petersburgo 6351, San Miguel",n/a,2304.0,2407.0,46.16,50.35,venta,departamento
8822,"Lo Errázuriz 2441, Cerrillos",n/a,2488.0,2800.0,57.99,68.3,venta,departamento
7121,"Lago Pirihueico 6502, La Florida",n/a,2400.0,3465.0,36.7,76.1,venta,departamento
8918,"Miguel Ángel 1283, Puente Alto",n/a,2150.0,2200.0,55.91,59.27,venta,departamento
4986551,"Lord Cochrane Con Eleutero Ramirez, Santiago",1D/1B,2000.0,0.0,25.0,27.0,venta,departamento
4978392,"Santo Domingo 736 - Departamento 167, Santiago",1D/1B,2000.0,0.0,32.0,32.0,venta,departamento
5029771,"Avenida Américo Vespucio 1350, Maipú",1D/1B,2037.0,0.0,32.0,35.0,venta,departamento
4989899,"Diagonal Tte Cruz 557, Pudahuel - Departamento 601, Pudahuel",3D/1B,2074.0,0.0,48.0,48.0,venta,departamento
4976744,"María Rozas Velásquez 51, Estación Central",1D/1B,2090.0,0.0,30.0,32.0,venta,departamento
4971584,"Vergara, Santiago - Departamento 819, Santiago",1D/1B,2090.0,0.0,26.0,31.0,venta,departamento
